Graphics,Market,Processor
HD Graphics,Desktop,Celeron G1101
,,Pentium G69xx
,,Core i3-5x0
,,Core i5-6x0
,,Core i5-655K
,,Core i5-661
,Mobile,Celeron U3xxx
,,Pentium U5xxx
,,Core i3-3x0UM
,,Core i5-5x0UM
,,Core i7-6x0UE
,,Core i7-6x0UM
,,Core i7-620LE
,,Core i7-6x0LM
,,Celeron P4xxx
,,Pentium P6xxx
,,Core i3-330E
,,Core i3-3x0M
,,Core i5-4x0M
,,Core i5-520E
,,Core i5-5x0M
,,Core i7-610E
,,Core i7-6x0M
HD Graphics,Mobile,Celeron B7x0
,,Celeron 8x7
,,Celeron B8xx
,,Pentium B9x0
,,Pentium 9x7
,Desktop,Celeron G4x0
,,Celeron G5x0
,,Celeron G530T
,,Pentium G6xx
,,Pentium G6x0T
,,Pentium G8x0
HD Graphics 2000,Desktop,Core i3-2102
,,Core i3-21x0
,,Core i3-21x0T
,,Core i5-2xx0
,,Core i5-2x00S
,,Core i5-2xx0T
,,Core i7-2600
,,Core i7-2600S
,Workstation,Xeon E3-1260L
HD Graphics 3000,Mobile,Core i3-23x0E
,,Core i3-23xxM
,,Core i5-251xE
,,Core i5-2xxxM
,,Core i7-2xxxQM
,,Core i7-271xQE
,,Core i7-29x0XM
,Desktop,Core i3-21x5
,,Core i5-2405S
,,Core i5-2500K
,,Core i7-2x00K
HD Graphics P3000,Workstation,Xeon E3-12x5
HD Graphics,Mobile,Atom Z3735D
,,Atom Z3735E
,,Atom Z3735F
,,Atom Z3735G
,,Atom Z3736F
,,Atom Z3736G
,,Atom Z3680
,,Atom Z3740
,,Atom Z3770
,,Atom Z3680D
,,Atom Z3740D
,,Atom Z3770D
,,Atom Z3745
,,Atom Z3775
,,Atom Z3795
,,Atom Z3745D
,,Atom Z3775D
,,Atom Z3785
,Mobile,Celeron N2805
,,Celeron N2807
,,Celeron N2830
,,Pentium N3510
,,Celeron N2806
,,Celeron N2810
,,Celeron N2815
,,Celeron N2820
,,Celeron N2910
,,Celeron N2808
,,Celeron N2840
,,Celeron N2920
,,Celeron N2930
,,Celeron N2940
,,Pentium N3520
,,Pentium N3530
,,Pentium N3540
,Embedded,Atom E3815
,,Atom E3825
,,Atom E3826
,,Atom E3827
,,Atom E3845
,Desktop,Celeron J1750
,,Celeron J1800
,,Celeron J1850
,,Celeron J1900
,,Pentium J2850
,,Pentium J2900
,Mobile,Pentium A1020
HD Graphics,Desktop,Celeron 16x0
,,Celeron 1610T
,,Pentium 2xx0
,,Pentium G2xx0T
,Mobile,Celeron 10x0M
,,Celeron 10x7U
,,Pentium 2117U
,,Pentium 20x0M
HD Graphics 2500,Workstation,Xeon E3-1265LV2
,Desktop,Core i3-32x0
,,Core i3-32x0T
,,Core i5-3xx0
,,Core i5-3xx0S
,,Core i5-3xx0T
HD Graphics 4000,,Core i3-3225
,,Core i3-3245
,,Core i5-3475S
,,Core i5-3570K
,,Core i7-3770
,,Core i7-3770x
,Mobile,Core i3-3110M
,,Core i3-3120M
,,Core i5-3210M
,,Core i3-3120ME
,,Core i3-3217U
,,Core i5-3317U
,,Core i3-3217UE
,,Core i3-3229Y
,,Core i5-3339Y
,,Core i5-3439Y
,,Core i5-33x0M
,,Core i5-3337U
,,Core i5-3427U
,,Core i5-3610ME
,,Core i7-3520M
,,Core i7-3xx7U
,,Core i7-3xxxQM
,,Core i7-3920XM
HD Graphics P4000,Workstation,Xeon E3-12x5V2
HD Graphics,Desktop,Pentium G3xxx
,,
,,
,,
,,
,,
,,Pentium G3xxxT
,,Celeron G18xx
,,Celeron G18xxT
,Mobile,Celeron 2950M
,,Pentium 3550M
,,Celeron 29xxU
,,Pentium 35xxU
,,Celeron 29xxY
,,Pentium 35xxY
HD Graphics 4200,Mobile,Core i3-40xxY
,,Core i5-4xxxY
,,Core i7-4610Y
HD Graphics 4400,Desktop,Core i3-4130
,,Core i3-4150
,,Core i3-4160
,,Core i3-4170
,,Core i3-4130T
,,Core i3-4150T
,,Core i3-4160T
,,Core i3-4170T
,Mobile,Core i3-4005U
,,Core i3-4025U
,,Core i3-4010U
,,Core i3-4100U
,,Core i5-4200U
,,Core i3-4030U
,,Core i3-4120U
,,Core i5-4300U
,,Core i7-4500U
,,Core i7-4600U
HD Graphics 4600,Desktop,Core i3-4330
,,Core i3-4340
,,Core i5-4570
,,Core i5-4570S
,,Core i3-4330T
,,Core i5-4570T
,,Core i5-4430
,,Core i5-4430S
,,Core i5-4440
,,Core i5-4440S
,,Core i5-4670
,,Core i5-4670K
,,Core i5-4670S
,,Core i5-4670T
,,Core i7-4765T
,,Core i7-4770
,,Core i7-4770S
,,Core i7-4770T
,,Core i7-4771
,,Core i7-4770K
,Mobile,Core i3-4xxxE
,,Core i5-4402E
,,Core i3-4xxxM
,,Core i5-4200M
,,Core i5-4200H
,,Core i7-47xxMQ
,,Core i7-4702HQ
,,Core i5-43xxM
,,Core i5-4400E
,,Core i7-4700EQ
,,Core i7-4700HQ
,,Core i7-4xxxM
,,Core i7-4800MQ
,,Core i7-4900MQ
,,Core i7-4930MX
HD Graphics P4600,Workstation,Xeon E3-1225 v3
,,Xeon E3-1226 v3
,,Xeon E3-1245 v3
,,Xeon E3-1246 v3
,,Xeon E3-1275 v3
,,Xeon E3-1276 v3
HD Graphics P4700,Workstation,Xeon E3-1285L v3
,,Xeon E3-1286L v3
,,Xeon E3-1285 v3
,,Xeon E3-1286 v3
HD Graphics 5000,Mobile,Core i5-4250U
,,Core i5-4350U
,,Core i7-4550U
,,Core i7-4650U
Iris Graphics 5100,,Core i3-4158U
,,Core i5-4258U
,,Core i5-4288U
,,Core i7-4558U
Iris Pro Graphics 5200,Desktop,Core i5-4570R
,,
,,Core i5-4670R
,,Core i7-4770R
,Mobile,Core i7-4750HQ
,,Core i7-4850HQ
,,Core i7-49xxHQ
HD Graphics,Mobile,Atom x5-Z8300
,,Atom x5-Z8500
,,Celeron N3000
,,Celeron N3050
,,Celeron N3150
,,Atom x7-Z8700
,,Pentium N3700
HD Graphics 400,,Atom x5-Z8350
,,Celeron N3010
,,Celeron N3060
,,Celeron N3160
,,Celeron J3060
,,Celeron J3160
HD Graphics 405,,Pentium N3710
,,Pentium J3710
HD Graphics,Mobile,Celeron 3205U
,,Celeron 3755U
,,Pentium 3805U
,,Celeron 3215U
,,Celeron 3765U
,,Pentium 3825U
HD Graphics 5300,Mobile,Core M-5Y10
,,Core M-5Y10a
,,Core M-5Y10c
,,Core M-5Y70
,,Core M-5Y31
,,Core M-5Y51
,,Core M-5Y71
HD Graphics 5500,Mobile,Core i3-5005U
,,Core i3-5015U
,,Core i3-5010U
,,Core i3-5020U
,,Core i5-5200U
,,Core i5-5300U
,,Core i7-5500U
,,Core i7-5600U
HD Graphics 5600,Mobile,Core i7-5700EQ
,,Core i7-5700HQ
HD Graphics P5700,Mobile,Xeon E3-1258L v4
HD Graphics 6000,Mobile,Core i5-5250U
,,Core i5-5350U
,,Core i7-5550U
,,Core i7-5650U
Iris Graphics 6100,Mobile,Core i3-5157U
,,Core i5-5257U
,,Core i5-5287U
,,Core i7-5557U
Iris Pro Graphics 6200,Desktop,Core i5-5575R
,,Core i5-5675C
,,Core i5-5675R
,,Core i7-5775C
,,Core i7-5775R
,Mobile,Core i7-5850EQ
,,Core i5-5350H
,,Core i7-5750HQ
,,Core i7-5850HQ
,,Core i7-5950HQ
Iris Pro Graphics P6300,Workstation,Xeon E3-1278L v4
,,Xeon E3-1265L v4
,,Xeon E3-1285 v4
,,Xeon E3-1285L v4
HD Graphics 500,Embedded,Atom x5-E3930
,,Atom x5-E3940
,Mobile,Celeron N3350
,,Celeron N3450
,Desktop,Celeron J3355
,,Celeron J3455
HD Graphics 505,Embedded,Atom x7-E3950
,Mobile,Pentium N4200
,Desktop,Pentium J4205
HD Graphics 510,Mobile,Celeron 3855U
,,Celeron 3955U
,,Pentium 4405U
,Desktop,Celeron G3900TE
,,Celeron G3900E
,,Celeron G3900T
,,Celeron G3900
,,Celeron G3902E
,,Celeron G3920
,,Pentium G4400TE
,,Pentium G4400T
,,Core i5-6402P
,,Pentium G4400
,,Core i3-6098P
HD Graphics 515,Mobile,Pentium 4405Y
,,Core m3-6Y30
,,Core m5-6Y54
,,Core m5-6Y57
,,Core m7-6Y75
HD Graphics 520,Mobile,Core i3-6006U
,,Core i3-6100U
,,Core i5-6200U
,,Core i5-6300U
,,Core i7-6500U
,,Core i7-6600U
HD Graphics 530,Mobile,Core i3-6100H
,,Core i3-6100E
,,Core i3-6102E
,,Core i5-6300HQ
,,Core i5-6440HQ
,,Core i5-6440EQ
,,Core i5-6442EQ
,,Core i7-6820EQ
,,Core i7-6822EQ
,,Core i7-6700HQ
,,Core i7-6820HK
,,Core i7-6820HQ
,,Core i7-6920HQ
,Desktop,Pentium G4500T
,,Core i3-6100T
,,Core i3-6300T
,,Core i5-6400T
,,Core i5-6400
,,Core i3-6100TE
,,Core i5-6500TE
,,Core i7-6700TE
,,Core i7-6700T
,,Pentium G4500
,,Pentium G4520
,,Core i3-6100
,,Core i5-6500
,,Core i5-6500T
,,Core i5-6600T
,,Core i7-6700
,,Core i3-6300
,,Core i3-6320
,,Core i5-6600
,,Core i5-6600K
,,Core i7-6700K
HD Graphics P530,Workstation,Xeon E3-1268L v5
,Mobile Workstation,Xeon E3-1505L v5
,,Xeon E3-1505M v5
,,Xeon E3-1535M v5
,Workstation,Xeon E3-1225 v5
,,Xeon E3-1235L v5
,,Xeon E3-1245 v5
,,Xeon E3-1275 v5
Iris Graphics 540,Mobile,Core i5-6260U
,,Core i5-6360U
,,Core i7-6560U
,,Core i7-6650U
,,Core i7-6660U
Iris Graphics 550,Mobile,Core i3-6157U
,,Core i3-6167U
,,Core i5-6267U
,,Core i5-6287U
,,Core i7-6567U
Iris Pro Graphics P555,Workstation,Xeon E3-1558L v5
Iris Pro Graphics 580,Mobile,Core i5-6350HQ
,,Core i7-6770HQ
,,Core i7-6870HQ
,,Core i7-6970HQ
,Desktop,Core i5-6585R
,,Core i5-6685R
,,Core i7-6785R
Iris Pro Graphics P580,Workstation,Xeon E3-1578L v5
,Mobile Workstation,Xeon E3-1515M v5
,,Xeon E3-1545M v5
,,Xeon E3-1575M v5
,Server,Xeon E3-1565L v5
,,Xeon E3-1585L v5
,,Xeon E3-1585 v5
UHD Graphics 600,Mobile,Celeron N4000
,,Celeron N4100
,Desktop,Celeron J4005
,,Celeron J4105
UHD Graphics 605,Mobile,Pentium Silver N5000
,Desktop,Pentium Silver J5005
HD Graphics 610,Mobile,Celeron 3865U
,,Celeron 3965U
,,Pentium 4415U
,Desktop,Celeron G3930TE
,,Celeron G3930E
,,Celeron G3930T
,,Celeron G3930
,,Celeron G3950
,,Pentium G4560T
,,Pentium G4560
,,Core i3-7101TE
,,Core i3-7101E
HD Graphics 615,Mobile,Celeron 3965Y
,,Pentium 4410Y
,,Pentium 4415Y
,,Core m3-7Y30
,,Core m3-7Y32
,,Core i5-7Y54
,,Core i5-7Y57
,,Core i7-7Y75
HD Graphics 620,,Core i3-7100U
,,Core i3-7130U
,,Core i5-7200U
,,Core i7-7500U
,,Core i5-7300U
,,Core i7-7600U
UHD Graphics 620,,Core i5-8250U
,,Core i5-8350U
,,Core i7-8550U
,,Core i7-8650U
HD Graphics 630,Desktop,Core i5-7400T
,,Core i5-7400
,,Pentium G4600T
,,Pentium G4600
,,Pentium G4620
,,Core i3-7100T
,,Core i3-7100
,,Core i3-7300T
,,Core i5-7500T
,,Core i5-7500
,,Core i5-7600T
,,Core i3-7300
,,Core i3-7320
,,Core i3-7350K
,,Core i5-7600
,,Core i5-7600K
,,Core i7-7700T
,,Core i7-7700
,,Core i7-7700K
,Mobile,Core i3-7100E
,,Core i3-7100H
,,Core i3-7102E
,,Core i5-7300HQ
,,Core i5-7440EQ
,,Core i5-7440HQ
,,Core i5-7442EQ
,,Core i7-7820EQ
,,Core i7-7700HQ
,,Core i7-7820HK
,,Core i7-7820HQ
,,Core i7-7920HQ
HD Graphics P630,Mobile Workstation,Xeon E3-1501L v6
,,Xeon E3-1501M v6
,,Xeon E3-1505L v6
,,Xeon E3-1505M v6
,,Xeon E3-1535M v6
,Workstation,Xeon E3-1225 v6
,,Xeon E3-1245 v6
,,Xeon E3-1275 v6
Iris Plus Graphics 640,Mobile,Core i5-7260U
,,Core i5-7360U
,,Core i7-7560U
,,Core i7-7660U
Iris Plus Graphics 650,,Core i3-7167U
,,Core i5-7267U
,,Core i5-7287U
,,Core i7-7567U
UHD Graphics 630,Desktop,Core i3-8100
,,Core i3-8350K
,,Core i5-8400
,,Core i5-8600K
,,Core i7-8700
,,Core i7-8700K
Unknown,Mobile,Celeron 1005M
Unknown,Mobile,Celeron 1019Y
Unknown,Mobile,Celeron 3215U
Unknown,Desktop,Celeron 4x0
Unknown,Mobile,Celeron 5x0
,Mobile,Celeron 743
,Mobile,Celeron 900
,Mobile,Celeron 925
,Desktop,Celeron E3x00
,Desktop,Celeron G16x0
,Desktop,Celeron G1620T
,Desktop,Celeron G465
,Desktop,Celeron G555
,Mobile,Celeron Dual-Core T3xxx
,Desktop,Core i3- 5x0
,Mobile,Core i3- M 3x0
,Mobile,Core i3-3227U
,Desktop,Core i3-43x0
,Desktop,Core i5- 6x0
,Desktop,Core i5- 661
,Mobile,Core i5- M 4x0
,Mobile,Core i5- M 5x0
,Mobile,Core i5-3437U
,Mobile,Core i5-4210x
,Mobile,Core i5-4xxxU
,Desktop,Core i5-4460
,Desktop,Core i5-4460T
,Desktop,Core i5-4460S
,Desktop,Core i5-4590
,Desktop,Core i5-4590x
,Desktop,Core i5-4690
,Desktop,Core i5-4690K
,Desktop,Core i5-4690S
,Desktop,Core i5-4690T
,Mobile,Core i5-6198DU
,Mobile,Core i7- M 6x0
,Mobile,Core i7- U 6x0
,Mobile,Core i7-26xxM
,Mobile,Core i7-45xxU
,Mobile,Core i7-47xxHQ
,Desktop,Core i7-4790
,Desktop,Core i7-4790K
,Desktop,Core i7-4790S
,Desktop,Core i7-4790T
,Mobile,Core i7-48x0HQ
,Mobile,Core i7-6498DU
,Desktop,Core2 Duo Exxxx
,Mobile,Core2 Duo Lxxxx
,Mobile,Core2 Duo Pxxxx
,Mobile,Core2 Duo Txxxx
,Mobile,Core 2 Duo Uxxxx
,Desktop,Core2 Quad Qxxxx
,Desktop,Pentium G20x0
,Desktop,Pentium G21x0
,Desktop,Pentium Dual E21x0
,Desktop,Pentium Dual E22x0
,Mobile,Pentium Dual T2xxx
,Mobile,Pentium Dual T23x0
,Mobile,Pentium Dual T3x00
,Desktop,Pentium Dual-Core Exxxx
,Mobile,Pentium Dual-Core Txxxx
,Server,Xeon E312xx
,Mobile,Core i7-3540M
,Desktop,Core i7-4785T
,Mobile,Core i3-3130M
,Desktop,Atom D2x00
,Desktop,Atom D525
,Desktop,Atom D425
,Mobile,Atom N570
,Mobile,Atom N550
,Mobile,Atom N475
,Mobile,Atom N470
,Mobile,Atom N455
,Mobile,Atom N450
,Mobile,Core i3- U 380
,Mobile,Core i7- L 6x0
,Mobile,Core i7-3940XM
,Server,Xeon E5345
,Server,Xeon E5410
,Server,Xeon E5450
,Server,Xeon E5430
,Mobile,Pentium 2127U
,Mobile,Pentium 3560M
,Server,Xeon L5240
,Server,Xeon L5335
,Server,Xeon L5410
,Mobile,Core2 Duo U9300
,Mobile,Core2 Duo U9400
,Mobile,Core i5-32x0M
,Mobile,Core i7-4x10MQ
,Server,Xeon E3-12x5 V2
,Server,Xeon E3-1225 v3
,Server,Xeon E3-1285L v3
,Server,Xeon E3-1205 v6
,Desktop,Pentium G645T
,Desktop,Pentium G6950
,Mobile,Core i7-4940MX
,Embedded,Core i5-4570TE
,Mobile,Core i5- U5.0
,Mobile,Core i7-3689Y
,Mobile,Core i7-4602Y
,Desktop,Atom D410
,Mobile,Atom N2x00
,Mobile,Atom x7-Z8750
,Mobile,Core i5- U 470
,Mobile,Core i5- U 520
,Mobile,Core i5- U 560
